DATE,CSUSHPISA
01-01-1998,87.619
01-02-1998,88.007
01-03-1998,88.447
01-04-1998,88.883
01-05-1998,89.368
01-06-1998,89.848
01-07-1998,90.313
01-08-1998,90.789
01-09-1998,91.262
01-10-1998,91.721
01-11-1998,92.203
01-12-1998,92.716
01-01-1999,93.212
01-02-1999,93.675
01-03-1999,94.221
01-04-1999,94.789
01-05-1999,95.349
01-06-1999,95.979
01-07-1999,96.596
01-08-1999,97.224
01-09-1999,97.869
01-10-1999,98.529
01-11-1999,99.16
01-12-1999,99.849
01-01-2000,100.552
01-02-2000,101.339
01-03-2000,102.127
01-04-2000,102.922
01-05-2000,103.677
01-06-2000,104.424
01-07-2000,105.054
01-08-2000,105.768
01-09-2000,106.537
01-10-2000,107.381
01-11-2000,108.3
01-12-2000,109.138
01-01-2001,109.846
01-02-2001,110.501
01-03-2001,111.108
01-04-2001,111.65
01-05-2001,112.162
01-06-2001,112.795
01-07-2001,113.491
01-08-2001,114.167
01-09-2001,114.81
01-10-2001,115.308
01-11-2001,115.854
01-12-2001,116.451
01-01-2002,117.143
01-02-2002,117.844
01-03-2002,118.687
01-04-2002,119.611
01-05-2002,120.724
01-06-2002,121.812
01-07-2002,122.886
01-08-2002,123.83
01-09-2002,124.778
01-10-2002,125.733
01-11-2002,126.668
01-12-2002,127.622
01-01-2003,128.46
01-02-2003,129.355
01-03-2003,130.148
01-04-2003,130.884
01-05-2003,131.735
01-06-2003,132.649
01-07-2003,133.776
01-08-2003,134.967
01-09-2003,136.294
01-10-2003,137.532
01-11-2003,138.794
01-12-2003,140.18
01-01-2004,141.648
01-02-2004,143.193
01-03-2004,145.059
01-04-2004,146.592
01-05-2004,148.184
01-06-2004,149.848
01-07-2004,151.336
01-08-2004,152.632
01-09-2004,154.178
01-10-2004,155.75
01-11-2004,157.527
01-12-2004,159.329
01-01-2005,161.287
01-02-2005,163.343
01-03-2005,165.812
01-04-2005,167.501
01-05-2005,169.351
01-06-2005,171.19
01-07-2005,172.859
01-08-2005,174.442
01-09-2005,176.437
01-10-2005,178.028
01-11-2005,179.682
01-12-2005,180.911
01-01-2006,182.321
01-02-2006,183.288
01-03-2006,184.364
01-04-2006,184.33
01-05-2006,184.157
01-06-2006,183.509
01-07-2006,183.068
01-08-2006,182.596
01-09-2006,182.8
01-10-2006,183.201
01-11-2006,183.612
01-12-2006,184.141
01-01-2007,184.519
01-02-2007,184.6
01-03-2007,184.151
01-04-2007,183.011
01-05-2007,181.602
01-06-2007,180.256
01-07-2007,179.114
01-08-2007,178.12
01-09-2007,177.561
01-10-2007,176.626
01-11-2007,175.148
01-12-2007,174.342
01-01-2008,173.133
01-02-2008,171.542
01-03-2008,170.053
01-04-2008,168.338
01-05-2008,166.659
01-06-2008,165.019
01-07-2008,163.57
01-08-2008,161.991
01-09-2008,160.311
01-10-2008,158.329
01-11-2008,156.142
01-12-2008,153.618
01-01-2009,151.504
01-02-2009,150.011
01-03-2009,148.657
01-04-2009,147.947
01-05-2009,147.693
01-06-2009,148.088
01-07-2009,148.409
01-08-2009,148.275
01-09-2009,148.023
01-10-2009,147.849
01-11-2009,148.135
01-12-2009,147.929
01-01-2010,147.395
01-02-2010,145.63
01-03-2010,145.858
01-04-2010,146.401
01-05-2010,146.392
01-06-2010,145.719
01-07-2010,144.989
01-08-2010,143.912
01-09-2010,143.015
01-10-2010,142.527
01-11-2010,142.172
01-12-2010,142.064
01-01-2011,141.528
01-02-2011,140.358
01-03-2011,139.986
01-04-2011,140.011
01-05-2011,139.904
01-06-2011,139.861
01-07-2011,139.732
01-08-2011,139.309
01-09-2011,138.669
01-10-2011,137.953
01-11-2011,137.152
01-12-2011,136.674
01-01-2012,136.608
01-02-2012,136.534
01-03-2012,137.908
01-04-2012,139.16
01-05-2012,140.16
01-06-2012,141.034
01-07-2012,141.673
01-08-2012,142.282
01-09-2012,142.911
01-10-2012,143.603
01-11-2012,144.586
01-12-2012,145.502
01-01-2013,146.835
01-02-2013,147.784
01-03-2013,149.966
01-04-2013,151.525
01-05-2013,152.861
01-06-2013,154.207
01-07-2013,155.617
01-08-2013,156.98
01-09-2013,158.239
01-10-2013,159.252
01-11-2013,160.082
01-12-2013,161.001
01-01-2014,161.948
01-02-2014,162.533
01-03-2014,163.097
01-04-2014,163.407
01-05-2014,163.674
01-06-2014,164.068
01-07-2014,164.587
01-08-2014,165.224
01-09-2014,165.918
01-10-2014,166.655
01-11-2014,167.348
01-12-2014,168.066
01-01-2015,168.67
01-02-2015,169.154
01-03-2015,169.83
01-04-2015,170.328
01-05-2015,170.907
01-06-2015,171.485
01-07-2015,172.158
01-08-2015,172.961
01-09-2015,173.856
01-10-2015,174.819
01-11-2015,175.761
01-12-2015,176.557
01-01-2016,177.292
01-02-2016,177.661
01-03-2016,178.194
01-04-2016,178.814
01-05-2016,179.484
01-06-2016,180.135
01-07-2016,180.895
01-08-2016,181.905
01-09-2016,182.872
01-10-2016,183.782
01-11-2016,184.761
01-12-2016,185.692
01-01-2017,186.78
01-02-2017,187.306
01-03-2017,188.051
01-04-2017,188.833
01-05-2017,189.742
01-06-2017,190.628
01-07-2017,191.576
01-08-2017,192.797
01-09-2017,193.849
01-10-2017,194.816
01-11-2017,195.881
01-12-2017,197.029
01-01-2018,198.159
01-02-2018,199.136
01-03-2018,200.067
01-04-2018,200.901
01-05-2018,201.7
01-06-2018,202.483
01-07-2018,203.124
01-08-2018,203.891
01-09-2018,204.456
01-10-2018,205.053
01-11-2018,205.465
01-12-2018,205.823
01-01-2019,206.199
01-02-2019,206.653
01-03-2019,207.277
01-04-2019,207.981
01-05-2019,208.647
01-06-2019,209.114
01-07-2019,209.653
01-08-2019,210.396
01-09-2019,211.053
01-10-2019,211.653
01-11-2019,212.457
01-12-2019,213.37
01-01-2020,214.387
01-02-2020,215.462
01-03-2020,216.715
01-04-2020,217.554
01-05-2020,217.81
01-06-2020,218.356
01-07-2020,219.899
01-08-2020,222.735
01-09-2020,225.954
01-10-2020,229.442
01-11-2020,232.656
01-12-2020,235.583
